arm,replay/abandoned,replay/active_goals,replay/admitted,replay/chunks,replay/episodes,replay/episodes_seen,replay/goal_0/episodes,replay/goal_0/sampled,replay/goal_0/sampled_total,replay/goal_0/transitions,replay/goal_1/episodes,replay/goal_1/sampled,replay/goal_1/sampled_total,replay/goal_1/transitions,replay/goal_2/episodes,replay/goal_2/sampled,replay/goal_2/sampled_total,replay/goal_2/transitions,replay/goal_3/episodes,replay/goal_3/sampled,replay/goal_3/sampled_total,replay/goal_3/transitions,replay/goal_4/episodes,replay/goal_4/sampled,replay/goal_4/sampled_total,replay/goal_4/transitions,replay/goal_5/episodes,replay/goal_5/sampled,replay/goal_5/sampled_total,replay/goal_5/transitions,replay/inserts,replay/items,replay/ram_gb,replay/rejected,replay/replaced,replay/replay_ratio,replay/samples,replay/sampling/current_fraction,replay/sampling/current_group,replay/sampling/is_current_old,replay/streams,replay/updates,seed,step
current_old_50_50,0.0,1.0,283.0,0.0,1000.0,3121.0,1000.0,23448.0,117064.0,38754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23450.0,38754.0,0.44483975507318974,492.0,283.0,31.99727078891258,23448.0,0.5,0.0,1.0,1.0,0.0,1,117310
current_old_50_50,0.0,1.0,225.0,0.0,1000.0,3960.0,1000.0,23488.0,140552.0,35590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23490.0,35590.0,0.40852162055671215,614.0,225.0,31.997275436355896,23488.0,0.5,0.0,1.0,1.0,0.0,1,140800
current_old_50_50,0.0,1.0,240.0,0.0,1000.0,4981.0,1000.0,23512.0,164064.0,32710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23510.0,32710.0,0.3754633944481611,781.0,240.0,32.00272224585283,23512.0,0.5,0.0,1.0,1.0,0.0,1,164310
current_old_50_50,0.0,1.0,218.0,0.0,1000.0,6182.0,1000.0,23488.0,187552.0,30316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23490.0,30316.0,0.3479837439954281,983.0,218.0,31.997275436355896,23488.0,0.5,0.0,1.0,1.0,0.0,1,187800
current_old_50_50,1.0,2.0,332.0,0.0,1239.0,7071.0,1000.0,24299.0,211851.0,29927.0,239.0,12029.0,12029.0,24060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36320.0,53987.0,0.619692518375814,557.0,93.0,32.00704845814978,36328.0,0.5,1.0,1.0,1.0,0.0,1,224120
current_old_50_50,0.0,2.0,235.0,0.0,1474.0,7306.0,1000.0,11874.0,223725.0,29927.0,474.0,11838.0,23867.0,47795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23710.0,77722.0,0.8921359200030565,0.0,0.0,32.002699283002954,23712.0,0.5,1.0,1.0,1.0,0.0,1,247830
current_old_50_50,0.0,2.0,233.0,0.0,1707.0,7539.0,1000.0,11832.0,235557.0,29927.0,707.0,11752.0,35619.0,71328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23580.0,101255.0,1.1622606543824077,0.0,0.0,32.00542832909245,23584.0,0.5,1.0,1.0,1.0,0.0,1,271410
current_old_50_50,0.0,2.0,414.0,0.0,2000.0,7960.0,1000.0,11807.0,247364.0,29927.0,1000.0,11769.0,47388.0,84127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23580.0,114054.0,1.3091746252030134,7.0,121.0,31.99457167090755,23576.0,0.5,1.0,1.0,1.0,0.0,1,294990
current_old_50_50,0.0,2.0,603.0,0.0,2000.0,8898.0,1000.0,11494.0,258858.0,29927.0,1000.0,11994.0,59382.0,59102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23490.0,89029.0,1.0219238931313157,335.0,603.0,31.997275436355896,23488.0,0.5,1.0,1.0,1.0,0.0,1,318480
current_old_50_50,0.0,2.0,425.0,0.0,2000.0,9947.0,1000.0,11746.0,270604.0,29927.0,1000.0,11790.0,71172.0,45785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23530.0,75712.0,0.8690640330314636,624.0,425.0,32.0081597960051,23536.0,0.5,1.0,1.0,0.0,0.0,1,342010
current_old_50_50,0.0,2.0,337.0,0.0,2000.0,11154.0,1000.0,11747.0,282351.0,29927.0,1000.0,11789.0,82961.0,38834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23540.0,68761.0,0.7892766268923879,870.0,337.0,31.994562446898897,23536.0,0.5,1.0,1.0,1.0,0.0,1,365550
current_old_50_50,0.0,2.0,247.0,0.0,2000.0,12363.0,1000.0,11763.0,294114.0,29927.0,1000.0,11765.0,94726.0,35340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23530.0,65267.0,0.7491705706343055,962.0,247.0,31.9972800679983,23528.0,0.5,1.0,1.0,0.0,0.0,1,389080
current_old_50_50,1.0,3.0,344.0,0.0,2258.0,13100.0,1000.0,11407.0,305521.0,29927.0,1000.0,11463.0,106189.0,33479.0,258.0,12034.0,12034.0,23923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34890.0,87329.0,1.002410356886685,393.0,86.0,32.012840355402695,34904.0,0.5,2.0,1.0,1.0,0.0,1,423970
