actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,checkpoint_kind,checkpoint_label,checkpoint_step,complete,condition,deaths,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,policy_mode,requested_episodes,reset_count,returncode,seed,source_checkpoint,success_rate,successes
0.0,nan,nan,nan,nan,nan,natural,step_0001500000,1500000,True,frozen,0,True,100,frozen,kill_goblin,0,True,17891,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/frozen/kill_goblin/sampled/attempt_01,177.91,200.0,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.23,23
0.0,nan,nan,nan,nan,nan,natural,step_0001500000,1500000,True,frozen,0,True,50,frozen,kill_goblin,0,True,8312,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/frozen/kill_goblin/deterministic/attempt_01,165.24,200.0,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.26,13
0.0,nan,nan,nan,nan,nan,natural,step_0001500000,1500000,True,frozen,0,True,100,frozen,bury_bones,0,True,17856,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/frozen/bury_bones/sampled/attempt_01,177.56,200.0,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.14,14
0.0,nan,nan,nan,nan,nan,natural,step_0001500000,1500000,True,frozen,0,True,50,frozen,bury_bones,0,True,9843,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/frozen/bury_bones/deterministic/attempt_01,195.86,200.0,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.04,2
0.0,nan,nan,nan,nan,nan,natural,step_0001500000,1500000,True,frozen,0,True,100,frozen,chop_logs,0,True,19689,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/frozen/chop_logs/sampled/attempt_01,195.89,200.0,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.03,3
0.0,nan,nan,nan,nan,nan,natural,step_0001500000,1500000,True,frozen,0,True,50,frozen,chop_logs,0,True,9742,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/frozen/chop_logs/deterministic/attempt_01,193.84,200.0,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.04,2
0.0003,0.03958812350518784,0.0016713722949625218,138.65,1.311571138561704e-05,138.65,natural,step_0001500000,1500000,True,standard_ir_h6,0,True,100,standard_ir,kill_goblin,6,True,13965,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/standard_ir_h6/kill_goblin/sampled/attempt_01,138.65,200.0,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.46,46
0.0003,0.03899827386687781,0.0018640663473491598,151.44,1.3560910404137822e-05,151.44,natural,step_0001500000,1500000,True,standard_ir_h6,0,True,50,standard_ir,kill_goblin,6,True,7622,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/standard_ir_h6/kill_goblin/deterministic/attempt_01,151.44,200.0,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.36,18
0.0003,0.042274370945715366,0.005237086400940501,198.15,1.1919343521565656e-05,198.15,natural,step_0001500000,1500000,True,standard_ir_h6,0,True,100,standard_ir,bury_bones,6,True,19915,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/standard_ir_h6/bury_bones/sampled/attempt_01,198.15,200.0,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.02,2
0.0003,0.05116261577368958,0.008652866436072614,200.0,1.2268821447119647e-05,200.0,natural,step_0001500000,1500000,True,standard_ir_h6,0,True,50,standard_ir,bury_bones,6,True,10050,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001500000/standard_ir_h6/bury_bones/deterministic/attempt_01,200.0,200.0,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001500000/checkpoint,0.0,0
