action_length,always_reward_success,canonical_stage,commit_on_no_ir_success,committed_updates,condition,episode_index,first_before_actor_entropy,first_before_js,first_before_success_rate,first_predicted_improvement,first_score_before,goal,max_predicted_improvement,mean_predicted_improvement,mean_score_before,missed_repair_opportunity,necessity_class,no_ir_success,policy_mode,positive_probe_fraction,probes,rejected_updates,replicate,reset_seed,success,tentative_updates
200.0,1,stage5b2,0,0.0,no_ir,16,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,271355054540565331,0,0.0
1.0,1,stage5b2,0,1.0,always_reward_only,16,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,271355054540565331,1,0.0
200.0,1,stage5b2,0,58.0,virtual_reward_dormant_25,16,0.037640221416950226,0.002588495844975114,0.0,2.4033652152866125e-06,0.00022904365323483944,bury_bones,0.12816864252090454,0.010656465159854234,0.06512503548643898,0,ir_needed,0,deterministic,0.6590909090909091,88,30.0,0,271355054540565331,0,88.0
200.0,1,stage5b2,0,11.0,virtual_reward_dormant_100,16,0.11343361437320709,0.0034417298156768084,0.0,-1.926266122609377e-06,0.00017081416444852948,bury_bones,0.06171233952045441,0.006373795362938315,0.008854185639050265,0,ir_needed,0,deterministic,0.55,20,9.0,0,271355054540565331,0,20.0
200.0,1,stage5b2,0,0.0,no_ir,17,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,1144299531918975107,0,0.0
78.0,1,stage5b2,0,78.0,always_reward_only,17,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,1144299531918975107,1,0.0
200.0,1,stage5b2,0,51.0,virtual_reward_dormant_25,17,0.2428012192249298,0.009339341893792152,0.0,5.795154720544815e-07,0.0031846158672124147,bury_bones,0.11197155714035034,0.005345265566769874,0.010083706570341439,0,ir_needed,0,deterministic,0.6375,80,29.0,0,1144299531918975107,0,80.0
200.0,1,stage5b2,0,4.0,virtual_reward_dormant_100,17,0.2858932912349701,0.007808845955878496,0.0,1.0229012081808264e-11,3.1056998639478195e-10,bury_bones,2.2956478384905665e-10,-7.953489478129683e-10,4.558547352428999e-07,0,ir_needed,0,deterministic,0.4,10,6.0,0,1144299531918975107,0,10.0
200.0,1,stage5b2,0,0.0,no_ir,18,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,6399730703569450442,0,0.0
1.0,1,stage5b2,0,1.0,always_reward_only,18,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,6399730703569450442,1,0.0
200.0,1,stage5b2,0,72.0,virtual_reward_dormant_25,18,0.17172737419605255,0.013393156230449677,0.0,1.1198197924500164e-10,2.5825497296239064e-09,bury_bones,0.17382746934890747,0.004500314935178239,0.02017602025884749,0,ir_needed,0,deterministic,0.6605504587155964,109,37.0,0,6399730703569450442,0,109.0
122.0,1,stage5b2,0,15.0,virtual_reward_dormant_100,18,0.18036745488643646,0.014857500791549683,0.0,0.0036382386460900307,4.627697194337088e-07,bury_bones,0.2575039267539978,0.03437926400702081,0.20431446329186148,0,ir_needed,0,deterministic,0.6521739130434783,23,8.0,0,6399730703569450442,1,23.0
200.0,1,stage5b2,0,0.0,no_ir,19,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,8911921829651719466,0,0.0
61.0,1,stage5b2,0,61.0,always_reward_only,19,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,8911921829651719466,1,0.0
200.0,1,stage5b2,0,17.0,virtual_reward_dormant_25,19,0.018554357811808586,0.0010519720381125808,0.0078125,0.00024076644331216812,0.005452549085021019,bury_bones,0.03190404176712036,0.0008367466989332581,0.0031815919711503855,0,ir_needed,0,deterministic,0.4473684210526316,38,21.0,0,8911921829651719466,0,38.0
2.0,1,stage5b2,0,2.0,virtual_reward_dormant_100,19,0.004021529573947191,0.0001639113761484623,0.0,0.004053421318531036,0.0003372504434082657,bury_bones,0.004319867119193077,0.004186644218862057,0.005839359902893193,0,ir_needed,0,deterministic,1.0,2,0.0,0,8911921829651719466,1,2.0
200.0,1,stage5b2,0,0.0,no_ir,20,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,1027513454137701045,0,0.0
2.0,1,stage5b2,0,2.0,always_reward_only,20,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,1027513454137701045,1,0.0
200.0,1,stage5b2,0,25.0,virtual_reward_dormant_25,20,0.0018396611558273435,0.0007667472818866372,0.0,-6.977934390306473e-07,0.0020503303967416286,bury_bones,0.05313926935195923,0.0051388807787262425,0.08543085114262892,0,ir_needed,0,deterministic,0.5319148936170213,47,22.0,0,1027513454137701045,0,47.0
96.0,1,stage5b2,0,37.0,virtual_reward_dormant_100,20,0.007576759438961744,0.002031229203566909,0.0,4.43828821516945e-06,6.42424720354029e-06,bury_bones,0.09873457252979279,0.008095897195383027,0.0841992810693992,0,ir_needed,0,deterministic,0.7115384615384616,52,15.0,0,1027513454137701045,1,52.0
200.0,1,stage5b2,0,0.0,no_ir,21,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,4304917317753002632,0,0.0
84.0,1,stage5b2,0,84.0,always_reward_only,21,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,4304917317753002632,1,0.0
200.0,1,stage5b2,0,72.0,virtual_reward_dormant_25,21,0.4318614602088928,0.0074283769354224205,0.0,-3.637978807091713e-12,8.136108590406366e-06,bury_bones,0.14378798007965088,0.006355079308221434,0.016566205022681278,0,ir_needed,0,deterministic,0.6923076923076923,104,32.0,0,4304917317753002632,0,104.0
200.0,1,stage5b2,0,55.0,virtual_reward_dormant_100,21,0.019033784046769142,0.0006069901282899082,0.0078125,4.215165972709656e-06,0.01631755568087101,bury_bones,0.09102720022201538,0.00576126119005167,0.051586187297527175,0,ir_needed,0,deterministic,0.6875,80,25.0,0,4304917317753002632,0,80.0
200.0,1,stage5b2,0,0.0,no_ir,22,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,8394567625431186535,0,0.0
128.0,1,stage5b2,0,128.0,always_reward_only,22,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,8394567625431186535,1,0.0
200.0,1,stage5b2,0,38.0,virtual_reward_dormant_25,22,0.5165375471115112,0.0059684570878744125,0.0078125,6.775371730327606e-08,0.0021340090315788984,bury_bones,0.0335664227604866,0.001044897825600725,0.005993432975013984,0,ir_needed,0,deterministic,0.5277777777777778,72,34.0,0,8394567625431186535,0,72.0
200.0,1,stage5b2,0,38.0,virtual_reward_dormant_100,22,0.3575793504714966,0.005646936129778624,0.0,3.2572870622971095e-08,2.1176819586798956e-07,bury_bones,0.05136007070541382,0.004252035057494565,0.13230046994175118,0,ir_needed,0,deterministic,0.6666666666666666,57,19.0,0,8394567625431186535,0,57.0
