actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,checkpoint_kind,complete,condition,deaths,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,policy_mode,requested_episodes,reset_count,returncode,seed,success_rate,successes
0.0,0.0435423957824951,-0.01529797506142831,200.0,1.1405681161629387e-05,200.0,corrupt,True,entropy_off_ir_h3,0,True,50,entropy_off_ir,bury_bones,3,True,10050,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h3/bury_bones/deterministic/attempt_01,200.0,200.0,standard,deterministic,50,50,0,2000,0.0,0
0.0,0.02498603008889885,-0.010012949907936464,162.45,1.325076331001771e-05,162.45,corrupt,True,entropy_off_ir_h3,0,True,100,entropy_off_ir,chop_logs,3,True,16345,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h3/chop_logs/sampled/attempt_01,162.45,200.0,standard,sampled,100,100,0,2000,0.32,32
0.0,0.025864663641312225,-0.008489201691345004,188.96,1.1691976486889524e-05,188.96,corrupt,True,entropy_off_ir_h3,0,True,50,entropy_off_ir,chop_logs,3,True,9498,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h3/chop_logs/deterministic/attempt_01,188.96,200.0,standard,deterministic,50,50,0,2000,0.14,7
0.0,0.04882910641093215,-0.0048199655972416084,132.76,1.532630398119012e-05,132.76,corrupt,True,entropy_off_ir_h6,0,True,100,entropy_off_ir,kill_goblin,6,True,13376,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h6/kill_goblin/sampled/attempt_01,132.76,200.0,standard,sampled,100,100,0,2000,0.49,49
0.0,0.033452439755463435,-0.014606665367069935,150.02,1.2645315591919204e-05,150.02,corrupt,True,entropy_off_ir_h6,0,True,50,entropy_off_ir,kill_goblin,6,True,7551,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h6/kill_goblin/deterministic/attempt_01,150.02,200.0,standard,deterministic,50,50,0,2000,0.36,18
0.0,0.04771142954380412,-0.019829924132551767,196.36,1.3612214217778181e-05,196.36,corrupt,True,entropy_off_ir_h6,0,True,100,entropy_off_ir,bury_bones,6,True,19736,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h6/bury_bones/sampled/attempt_01,196.36,200.0,standard,sampled,100,100,0,2000,0.03,3
0.0,0.038271918222846944,-0.013540433070798394,200.0,1.257101825503355e-05,200.0,corrupt,True,entropy_off_ir_h6,0,True,50,entropy_off_ir,bury_bones,6,True,10050,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h6/bury_bones/deterministic/attempt_01,200.0,200.0,standard,deterministic,50,50,0,2000,0.0,0
0.0,0.02024692753965252,-0.011527534329469666,175.53,1.2791889014797556e-05,175.53,corrupt,True,entropy_off_ir_h6,0,True,100,entropy_off_ir,chop_logs,6,True,17653,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h6/chop_logs/sampled/attempt_01,175.53,200.0,standard,sampled,100,100,0,2000,0.22,22
0.0,0.029235352792213468,-0.01104015211397741,178.94,1.2632633946730489e-05,178.94,corrupt,True,entropy_off_ir_h6,0,True,50,entropy_off_ir,chop_logs,6,True,8997,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h6/chop_logs/deterministic/attempt_01,178.94,200.0,standard,deterministic,50,50,0,2000,0.14,7
0.0,0.032506513881772926,-0.028450619628425048,134.38,1.561690353984287e-05,134.38,corrupt,True,entropy_off_ir_h15,0,True,100,entropy_off_ir,kill_goblin,15,True,13538,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h15/kill_goblin/sampled/attempt_01,134.38,200.0,standard,sampled,100,100,0,2000,0.46,46
0.0,0.03396061016744316,-0.012217712158699616,183.8,1.3682863993559226e-05,183.8,corrupt,True,entropy_off_ir_h15,0,True,50,entropy_off_ir,kill_goblin,15,True,9240,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h15/kill_goblin/deterministic/attempt_01,183.8,200.0,standard,deterministic,50,50,0,2000,0.18,9
0.0,0.03748746542023038,-0.03700208854700612,192.77,1.3825548167469103e-05,192.77,corrupt,True,entropy_off_ir_h15,0,True,100,entropy_off_ir,bury_bones,15,True,19377,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h15/bury_bones/sampled/attempt_01,192.77,200.0,standard,sampled,100,100,0,2000,0.05,5
0.0,0.03697146349176056,-0.034688470045746274,195.86,1.3481111671514565e-05,195.86,corrupt,True,entropy_off_ir_h15,0,True,50,entropy_off_ir,bury_bones,15,True,9843,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h15/bury_bones/deterministic/attempt_01,195.86,200.0,standard,deterministic,50,50,0,2000,0.04,2
0.0,0.021553893572481154,-0.018951986075164892,153.53,1.3318224906702747e-05,153.53,corrupt,True,entropy_off_ir_h15,0,True,100,entropy_off_ir,chop_logs,15,True,15453,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h15/chop_logs/sampled/attempt_01,153.53,200.0,standard,sampled,100,100,0,2000,0.35,35
0.0,0.02690425874086908,-0.021680205987527783,164.08,1.3074786751273e-05,164.08,corrupt,True,entropy_off_ir_h15,0,True,50,entropy_off_ir,chop_logs,15,True,8254,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h15/chop_logs/deterministic/attempt_01,164.08,200.0,standard,deterministic,50,50,0,2000,0.24,12
0.0,0.031732412706163435,-0.026863609539506547,150.67,1.5400679556929745e-05,150.67,corrupt,True,entropy_off_ir_h20,0,True,100,entropy_off_ir,kill_goblin,20,True,15167,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h20/kill_goblin/sampled/attempt_01,150.67,200.0,standard,sampled,100,100,0,2000,0.34,34
0.0,0.03163459860797829,-0.041188312274102204,123.62,1.5586451828298062e-05,123.62,corrupt,True,entropy_off_ir_h20,0,True,50,entropy_off_ir,kill_goblin,20,True,6231,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h20/kill_goblin/deterministic/attempt_01,123.62,174.0,standard,deterministic,50,50,0,2000,0.52,26
0.0,0.03344973109298045,-0.04934658472408238,193.59,1.3860806896061956e-05,193.59,corrupt,True,entropy_off_ir_h20,0,True,100,entropy_off_ir,bury_bones,20,True,19459,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h20/bury_bones/sampled/attempt_01,193.59,200.0,standard,sampled,100,100,0,2000,0.05,5
0.0,0.030078147339599667,-0.041139968339356646,200.0,1.2827255004071957e-05,200.0,corrupt,True,entropy_off_ir_h20,0,True,50,entropy_off_ir,bury_bones,20,True,10050,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h20/bury_bones/deterministic/attempt_01,200.0,200.0,standard,deterministic,50,50,0,2000,0.0,0
0.0,0.016450557036452693,-0.036941736307570354,150.92,1.3206131340445786e-05,150.92,corrupt,True,entropy_off_ir_h20,0,True,100,entropy_off_ir,chop_logs,20,True,15192,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h20/chop_logs/sampled/attempt_01,150.92,200.0,standard,sampled,100,100,0,2000,0.42,42
0.0,0.01897416528602633,-0.020436659257279097,191.74,1.1959971997470832e-05,191.74,corrupt,True,entropy_off_ir_h20,0,True,50,entropy_off_ir,chop_logs,20,True,9637,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h20/chop_logs/deterministic/attempt_01,191.74,200.0,standard,deterministic,50,50,0,2000,0.08,4
0.0,0.01501414320679837,0.00486503932900345,118.8,1.174361593554052e-05,118.8,corrupt,True,reward_only_ir_h3,0,True,100,reward_only_ir,kill_goblin,3,True,11980,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/reward_only_ir_h3/kill_goblin/sampled/attempt_01,118.8,119.0,reward_only,sampled,100,100,0,2000,0.58,58
0.0,0.030000559921772023,0.01326201767674052,99.48,1.1825079995032762e-05,99.48,corrupt,True,reward_only_ir_h3,0,True,50,reward_only_ir,kill_goblin,3,True,5024,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/reward_only_ir_h3/kill_goblin/deterministic/attempt_01,99.48,58.0,reward_only,deterministic,50,50,0,2000,0.66,33
0.0,0.05114556247302108,0.017580780115229233,138.59,1.0741470252759371e-05,138.59,corrupt,True,reward_only_ir_h3,0,True,100,reward_only_ir,bury_bones,3,True,13959,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/reward_only_ir_h3/bury_bones/sampled/attempt_01,138.59,145.0,reward_only,sampled,100,100,0,2000,0.62,62
0.0,0.1393711847106781,0.16720421737809144,90.48,1.7660473062342842e-05,90.48,corrupt,True,reward_only_ir_h3,0,True,50,reward_only_ir,bury_bones,3,True,4574,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/reward_only_ir_h3/bury_bones/deterministic/attempt_01,90.48,93.5,reward_only,deterministic,50,50,0,2000,0.82,41
0.0,0.008892765479081414,0.007966050470859454,150.28,1.1675975621796978e-05,150.28,corrupt,True,reward_only_ir_h3,0,True,100,reward_only_ir,chop_logs,3,True,15128,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/reward_only_ir_h3/chop_logs/sampled/attempt_01,150.28,200.0,reward_only,sampled,100,100,0,2000,0.43,43
0.0,0.019857087658513718,0.016144016782754473,102.06,1.4480113245063648e-05,102.06,corrupt,True,reward_only_ir_h3,0,True,50,reward_only_ir,chop_logs,3,True,5153,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/reward_only_ir_h3/chop_logs/deterministic/attempt_01,102.06,75.5,reward_only,deterministic,50,50,0,2000,0.74,37
0.0,0.024503767217362204,0.010903594896955254,127.33,1.3082503407886656e-05,127.33,corrupt,True,reward_only_ir_h6,0,True,100,reward_only_ir,kill_goblin,6,True,12833,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/reward_only_ir_h6/kill_goblin/sampled/attempt_01,127.33,164.0,reward_only,sampled,100,100,0,2000,0.57,57
0.0,0.03258048980923341,0.012485532366649224,106.46,1.4753828044895888e-05,106.46,corrupt,True,reward_only_ir_h6,0,True,50,reward_only_ir,kill_goblin,6,True,5373,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/reward_only_ir_h6/kill_goblin/deterministic/attempt_01,106.46,75.5,reward_only,deterministic,50,50,0,2000,0.6,30
